Imput;Output attendues;;;;;
majuscule;shift;;;;;
Verrouiller la maj;verr.maj;;;;;
Backspace;delete;;;;;
controle;ctrl;;;;;
Alt Gr;alt.gr;;;;;
guillemet;\g;;;;;
apostrophe;\a;;;;;
